Date,Open,High,Low,Close,Adj Close,Volume
1/1/2009,2.5675,2.987,2.3815,2.941,2.941,4081446000
1/2/2009,2.9285,3.368,2.9065,3.2395,3.2395,3735604000
1/3/2009,3.197,3.7805,2.991,3.672,3.672,4553446000
1/4/2009,3.651,4.334,3.5855,4.026,4.026,3700640000
1/5/2009,4.019,4.18,3.655,3.8995,3.8995,2752068000
1/6/2009,3.9105,4.428,3.8125,4.183,4.183,3041708000
1/7/2009,4.221,4.72,3.7705,4.288,4.288,3509228000
1/8/2009,4.328,4.41,4.0125,4.0595,4.0595,2252458000
1/9/2009,4.037,4.725,3.8755,4.668,4.668,2562436000
1/10/2009,4.625,6.284,4.4135,5.9405,5.9405,5372328000
1/11/2009,5.933,6.804,5.8125,6.7955,6.7955,3206102000
1/12/2009,6.847,7.2955,6.2825,6.726,6.726,4149422000
1/1/2010,6.8125,6.8305,5.906,6.2705,6.2705,4617220000
1/2/2010,6.159,6.243,5.691,5.92,5.92,4202916000
1/3/2010,5.935,6.9095,5.8765,6.7885,6.7885,3160852000
1/4/2010,6.79,7.5545,6.539,6.855,6.855,3460502000
1/5/2010,6.86,6.972,5.876,6.273,6.273,2818198000
1/6/2010,6.2485,6.4575,5.3005,5.463,5.463,2667570000
1/7/2010,5.445,6.244,5.29,5.8945,5.8945,3506524000
1/8/2010,5.9575,6.5405,5.8785,6.2415,6.2415,2268396000
1/9/2010,6.318,8.089,6.3085,7.853,7.853,2686420000
1/10/2010,7.854,8.5995,7.57,8.2615,8.2615,2857670000
1/11/2010,8.2225,9.092,7.8385,8.77,8.77,2620228000
1/12/2010,8.958,9.2825,8.6545,9,9,1873234000
1/1/2011,9.0685,9.58,8.345,8.482,8.482,2272226000
1/2/2011,8.526,9.57,8.4755,8.6645,8.6645,1915528000
1/3/2011,8.6765,9.0785,8.0295,9.0065,9.0065,2379582000
1/4/2011,9.079,9.89,8.7685,9.7905,9.7905,2334988000
1/5/2011,9.8285,10.3195,9.544,9.8345,9.8345,2125490000
1/6/2011,9.803,10.3125,9.0795,10.2245,10.2245,1911274000
1/7/2011,10.2775,11.36,10.1805,11.126,11.126,1856170000
1/8/2011,11.25,11.3725,8.855,10.7615,10.7615,3103894000
1/9/2011,10.764,12.2,10.2235,10.8115,10.8115,2872466000
1/10/2011,10.8505,12.3355,9.8255,10.6755,10.6755,3184288000
1/11/2011,10.4055,11.1175,9.0755,9.6145,9.6145,2731762000
1/12/2011,9.5925,9.983,8.3485,8.655,8.655,2511904000
1/1/2012,8.7945,9.825,8.675,9.722,9.722,2210738000
1/2/2012,8.6905,9.6785,8.6,8.9845,8.9845,2931608000
1/3/2012,8.9945,10.4925,8.829,10.1255,10.1255,2259502000
1/4/2012,9.901,11.692,9.1825,11.595,11.595,2210708000
1/5/2012,11.47,11.6485,10.3555,10.6455,10.6455,1855486000
1/6/2012,10.422,11.4175,10.3185,11.4175,11.4175,1314912000
1/7/2012,11.465,12.037,10.6305,11.665,11.665,1546804000
1/8/2012,11.707,12.5,11.433,12.4135,12.4135,1203848000
1/9/2012,12.4135,13.2055,12.233,12.716,12.716,1271410000
1/10/2012,12.77,13.095,11.146,11.6445,11.6445,1631370000
1/11/2012,11.7115,12.6325,10.909,12.6025,12.6025,1344272000
1/12/2012,12.627,13.1555,12.1375,12.5435,12.5435,1217424000
1/1/2013,12.804,14.236,12.663,13.275,13.275,1684528000
1/2/2013,13.4465,13.715,12.7555,13.2135,13.2135,1373234000
1/3/2013,13.1635,13.87,12.6035,13.3245,13.3245,1170114000
1/4/2013,13.349,13.79,12.428,12.6905,12.6905,1538324000
1/5/2013,12.695,13.5955,12.2875,13.46,13.46,1181010000
1/6/2013,13.448,14.167,13.1475,13.8845,13.8845,1171516000
1/7/2013,13.95,15.681,13.858,15.061,15.061,1350738000
1/8/2013,15.154,15.3105,13.9665,14.049,14.049,875478000
1/9/2013,14.2365,16.0285,14.2085,15.632,15.632,869376000
1/10/2013,15.711,18.42,14.825,18.2015,18.2015,1545908000
1/11/2013,18.2815,19.705,17.094,19.681,19.681,1084154000
1/12/2013,19.950001,20.2815,18.975,19.939501,19.939501,1113734000
1/1/2014,19.940001,20.403,17.888,17.9345,17.9345,1620238000
1/2/2014,17.948999,18.293501,16.886499,18.105,18.105,1660180000
1/3/2014,17.937,19.1555,16.544001,16.818501,16.818501,1505070000
1/4/2014,16.904499,17.415001,14.4,15.2065,15.2065,2765574000
1/5/2014,15.2065,15.7435,14.219,15.6275,15.6275,1571584000
1/6/2014,15.6295,17.035999,15.192,16.239,16.239,1531602000
1/7/2014,16.292999,18.2425,15.593,15.6495,15.6495,1988520000
1/8/2014,15.6845,17.3335,15.2295,16.952,16.952,1240634000
1/9/2014,16.999001,17.469,15.882,16.122,16.122,1360656000
1/10/2014,16.101999,16.257999,14.2,15.273,15.273,2221174000
1/11/2014,15.312,17.063,14.6145,16.931999,16.931999,1379674000
1/12/2014,16.906,17.032,14.6515,15.5175,15.5175,1736428000
1/1/2015,15.629,17.975,14.2625,17.7265,17.7265,2061142000
1/2/2015,17.502501,19.4685,17.5005,19.007999,19.007999,1416924000
1/3/2015,19.0425,19.421,18.282499,18.605,18.605,1110056000
1/4/2015,18.605,22.6325,18.417,21.089001,21.089001,1688096000
1/5/2015,21.191,21.950001,20.727501,21.4615,21.4615,1039660000
1/6/2015,21.52,22.351999,20.957001,21.7045,21.7045,1099750000
1/7/2015,21.967501,29.0285,21.2785,26.807501,26.807501,2041400000
1/8/2015,26.872499,27.136999,22.549999,25.644501,25.644501,1657264000
1/9/2015,24.957001,27.489,24.525,25.5945,25.5945,1535378000
1/10/2015,25.549999,31.535999,25.299999,31.295,31.295,1942522000
1/11/2015,31.356501,34.1385,31.0205,33.240002,33.240002,1746098000
1/12/2015,33.6875,34.821999,31.7635,33.794498,33.794498,1803750000
1/1/2016,32.814499,32.886002,27.358999,29.35,29.35,2604018000
1/2/2016,28.907499,29.09,23.700001,27.625999,27.625999,2482896000
1/3/2016,27.814501,30.162001,26.929001,29.681999,29.681999,1880190000
1/4/2016,29.5245,33.499001,29.262501,32.9795,32.9795,1569284000
1/5/2016,33.195999,36.211498,32.799999,36.1395,36.1395,1812290000
1/6/2016,36.044998,36.575001,34.105999,35.780998,35.780998,1490818000
