Date,Open,High,Low,Close,Adj Close,Volume
1/1/2009,19.530001,21,16.75,17.1,12.672784,1564043400
1/2/2009,17.030001,19.93,16.1,16.15,11.96874,1456213400
1/3/2009,15.96,18.879999,14.87,18.370001,13.707326,1625752800
1/4/2009,18.23,21.200001,18.18,20.26,15.117604,1562400700
1/5/2009,20.190001,20.940001,19.01,20.889999,15.587688,1101122400
1/6/2009,21,24.34,20.860001,23.77,17.849339,1411144700
1/7/2009,24.049999,25.719999,22,23.52,17.661604,1517459800
1/8/2009,23.82,25.49,23.030001,24.65,18.510149,993250400
1/9/2009,24.35,26.25,23.76,25.719999,19.42223,1038979700
1/10/2009,25.41,29.35,24.43,27.73,20.94006,1523430100
1/11/2009,27.700001,30.139999,27.41,29.41,22.208693,1018256700
1/12/2009,29.52,31.5,29.25,30.48,23.118431,920605500
1/1/2010,30.620001,31.24,27.66,28.18,21.373934,1359650900
1/2/2010,28.389999,29.030001,27.57,28.67,21.745584,1074643300
1/3/2010,28.77,30.57,28.24,29.290001,22.319731,1110237200
1/4/2010,29.35,31.58,28.620001,30.540001,23.272266,1319029500
1/5/2010,30.67,31.059999,24.559999,25.799999,19.660263,1720130200
1/6/2010,25.530001,26.93,22.950001,23.01,17.613333,1671811600
1/7/2010,23.09,26.41,22.73,25.809999,19.756632,1408590600
1/8/2010,25.99,26.379999,23.32,23.469999,17.965441,1279372100
1/9/2010,23.67,25.530001,23.540001,24.49,18.846216,1273139500
1/10/2010,24.77,27.200001,23.780001,26.67,20.523832,1281432800
1/11/2010,26.879999,28.870001,24.93,25.26,19.438772,1361176300
1/12/2010,25.57,28.4,25.559999,27.91,21.610044,1033710000
1/1/2011,28.049999,29.459999,27.42,27.73,21.470675,1361258700
1/2/2011,27.799999,28.34,26.43,26.58,20.580248,1114368500
1/3/2011,26.6,26.780001,24.68,25.389999,19.775064,1310885200
1/4/2011,25.530001,26.870001,24.719999,25.92,20.187853,1313844800
1/5/2011,25.940001,26.25,24.030001,25.01,19.479095,1364062800
1/6/2011,24.99,26,23.65,26,20.382889,1297757600
1/7/2011,25.93,28.15,25.84,27.4,21.480431,1259328200
1/8/2011,27.51,27.690001,23.790001,26.6,20.85327,1719339500
1/9/2011,26.459999,27.5,24.6,24.889999,19.635853,1279920200
1/10/2011,24.719999,27.5,24.26,26.629999,21.008549,1218142500
1/11/2011,26.190001,27.200001,24.299999,25.58,20.180204,1046207400
1/12/2011,25.559999,26.190001,25.16,25.959999,20.634201,1007166600
1/1/2012,26.549999,29.950001,26.389999,29.530001,23.471802,1354858100
1/2/2012,29.790001,32,29.709999,31.74,25.228411,984332300
1/3/2012,31.93,32.950001,31.49,32.259998,25.810543,942366500
1/4/2012,32.220001,32.889999,30.23,32.02,25.618517,940739700
1/5/2012,32.049999,32.34,28.639999,29.190001,23.354298,1014372600
1/6/2012,28.76,31.139999,28.32,30.59,24.635008,973131400
1/7/2012,30.620001,31.049999,28.540001,29.469999,23.733038,846604100
1/8/2012,29.59,30.959999,28.969999,30.82,24.82023,671748400
1/9/2012,30.450001,31.610001,29.74,29.76,24.125351,893107700
1/10/2012,29.809999,30.25,27.76,28.540001,23.136345,1105402300
1/11/2012,28.84,30.200001,26.34,26.620001,21.579866,1310516100
1/12/2012,26.780001,27.73,26.26,26.709999,21.830757,947310900
1/1/2013,27.25,28.23,26.280001,27.450001,22.43557,1145054400
1/2/2013,27.67,28.200001,27.1,27.799999,22.721638,780587000
1/3/2013,27.719999,28.66,27.52,28.610001,23.577276,844946000
1/4/2013,28.639999,33.110001,28.110001,33.099998,27.277447,1465757200
1/5/2013,32.93,35.279999,32.32,34.900002,28.760813,1071860000
1/6/2013,34.919998,35.779999,32.57,34.540001,28.663731,945155500
1/7/2013,34.75,36.43,31.02,31.84,26.423088,1111130600
1/8/2013,32.060001,35.200001,30.84,33.400002,27.717682,1051265000
1/9/2013,31.75,33.75,30.950001,33.279999,27.81271,1242961500
1/10/2013,33.349998,36.290001,32.799999,35.41,29.592785,965331500
1/11/2013,35.669998,38.290001,35.389999,38.130001,31.865932,800431600
1/12/2013,38.09,38.98,35.529999,37.41,31.501337,826617700
1/1/2014,37.349998,37.889999,34.630001,37.84,31.863419,930226200
1/2/2014,37.740002,38.459999,35.689999,38.310001,32.259174,705304500
1/3/2014,37.919998,41.5,37.490002,40.990002,34.774719,778425700
1/4/2014,41.150002,41.66,38.900002,40.400002,34.274193,746112500
1/5/2014,40.240002,40.970001,38.509998,40.939999,34.732296,574362900
1/6/2014,40.950001,42.290001,39.860001,41.700001,35.626648,555767300
1/7/2014,41.860001,45.709999,41.049999,43.16,36.873997,731616500
1/8/2014,43.209999,45.470001,42.209999,45.43,38.81337,513919700
1/9/2014,45.43,47.57,44.529999,46.360001,39.855324,860827300
1/10/2014,46.27,46.970001,42.099998,46.950001,40.362541,853260900
1/11/2014,46.889999,50.049999,46.73,47.810001,41.101875,523005900
1/12/2014,47.880001,49.060001,44.900002,46.450001,40.184555,626771200
1/1/2015,46.66,47.91,40.349998,40.400002,34.950619,918966800
1/2/2015,40.59,44.299999,40.23,43.849998,37.935246,656509700
1/3/2015,43.669998,44.189999,40.540001,40.66,35.425858,824335300
1/4/2015,40.599998,49.540001,40.119999,48.639999,42.378616,874535300
1/5/2015,48.580002,48.91,46.02,46.860001,40.827755,633072800
1/6/2015,47.060001,47.77,43.939999,44.150002,38.71661,664853400
1/7/2015,44.459999,47.400002,43.32,46.700001,40.952782,725458100
1/8/2015,46.98,48.41,39.720001,43.52,38.164135,776480300
1/9/2015,42.169998,45,41.66,44.259998,39.068996,673079900
1/10/2015,44.75,54.369999,43.75,52.639999,46.466167,856716800
1/11/2015,52.849998,54.98,52.529999,54.349998,47.975613,662626600
1/12/2015,54.41,56.849998,53.68,55.48,49.303181,792820900
1/1/2016,54.32,55.389999,49.099998,55.09,48.956596,927914700
1/2/2016,54.880001,55.09,48.189999,50.880001,45.215321,814770900
1/3/2016,50.970001,55.639999,50.580002,55.23,49.433411,641110900
1/4/2016,55.049999,56.77,49.349998,49.869999,44.635952,699025700
1/5/2016,50,53,49.459999,53,47.437458,530704800
1/6/2016,52.439999,52.950001,48.040001,51.169998,46.119858,823627000
1/7/2016,51.130001,57.290001,50.389999,56.68,51.086056,647587800
1/8/2016,56.599998,58.700001,56.139999,57.459999,51.789078,467078900
1/9/2016,57.009998,58.189999,55.610001,57.599998,52.238838,526427800
1/10/2016,57.41,61.369999,56.32,59.919998,54.342896,614841800
1/11/2016,59.970001,61.41,57.279999,60.259998,54.651237,613056800
1/12/2016,60.110001,64.099998,58.799999,62.139999,56.736984,513579700
1/1/2017,62.790001,65.910004,61.950001,64.650002,59.028736,493453500
1/2/2017,64.360001,65.239998,62.75,63.98,58.417004,440744000
1/3/2017,64.129997,66.190002,63.619999,65.860001,60.498093,489169700
1/4/2017,65.809998,69.139999,64.849998,68.459999,62.886414,433191200
1/5/2017,68.68,70.739998,67.139999,69.839996,64.154045,517218500
1/6/2017,70.239998,72.889999,68.089996,68.93,63.681095,629716800
1/7/2017,69.330002,74.419998,68.019997,72.699997,67.164001,469851200
1/8/2017,73.099998,74.959999,71.279999,74.769997,69.07637,444070500
1/9/2017,74.709999,75.970001,72.919998,74.489998,69.184349,375983900
1/10/2017,74.709999,86.199997,73.709999,83.18,77.255394,449950000
1/11/2017,83.68,85.059998,82.239998,84.169998,78.174889,421926000
1/12/2017,83.599998,87.5,80.699997,85.540001,79.846291,466203300
1/1/2018,86.129997,95.449997,85.5,95.010002,88.685959,574258400
1/2/2018,94.790001,96.07,83.830002,93.769997,87.528488,725663300
1/3/2018,93.989998,97.239998,87.080002,91.269997,85.595108,750754800
1/4/2018,90.470001,97.900002,87.510002,93.519997,87.705193,668130700
1/5/2018,93.209999,99.989998,92.449997,98.839996,92.694405,509417900
1/6/2018,99.279999,102.690002,97.260002,98.610001,92.879562,602585200
1/7/2018,98.099998,111.150002,98,106.080002,99.915451,569352300
1/8/2018,106.029999,112.779999,104.839996,112.330002,105.802269,456628100
1/9/2018,110.849998,115.290001,107.230003,114.370003,108.138283,480255500
1/10/2018,114.75,116.18,100.110001,106.809998,100.990196,927548000
1/11/2018,107.050003,112.239998,99.349998,110.889999,104.847885,720228600
1/12/2018,113,113.419998,93.959999,101.57,96.450577,944314600
1/1/2019,99.550003,107.900002,97.199997,104.43,99.166428,714212800
1/2/2019,103.779999,113.239998,102.349998,112.029999,106.383377,469095900
1/3/2019,112.889999,120.82,108.800003,117.940002,112.473801,589095800
1/4/2019,118.949997,131.369995,118.099998,130.600006,124.547035,433157700
1/5/2019,130.529999,130.649994,123.040001,123.68,117.947777,547218800
1/6/2019,123.849998,138.399994,119.010002,133.960007,128.224197,508324300
1/7/2019,136.630005,141.679993,134.669998,136.270004,130.435257,484079900
1/8/2019,137,140.940002,130.779999,137.860001,131.957169,584482000
1/9/2019,136.610001,142.369995,134.509995,139.029999,133.520248,472544800
1/10/2019,139.660004,145.669998,133.220001,143.369995,137.688232,549523400
1/11/2019,144.259995,152.5,142.970001,151.380005,145.380814,392371800
1/12/2019,151.809998,159.550003,146.649994,157.699997,151.965729,450303300
