Date,Open,High,Low,Close,Adj Close,Volume
1/1/2009,9020,10480,8770,9780,7482.773438,524452600
1/2/2009,9760,10960,9220,9540,7299.149902,515027250
1/3/2009,9510,11800,9090,11360,8691.649414,484961500
1/4/2009,11400,12640,11100,11840,9058.900391,629911100
1/5/2009,11840,11940,10400,11160,8538.629883,557698250
1/6/2009,11040,12180,10880,11840,9058.900391,549104550
1/7/2009,11880,14580,11800,14480,11088.09277,533882200
1/8/2009,14640,15700,13820,15420,11807.90137,478266250
1/9/2009,15600,16580,15200,16300,12481.7627,510264550
1/10/2009,16220,16300,14020,14460,11072.7793,559186150
1/11/2009,14220,15300,14160,14400,11026.83398,392959900
1/12/2009,14400,15980,14360,15980,12236.72363,350257400
1/1/2010,15980,17000,15600,15680,12122.52246,377877450
1/2/2010,15680,15800,14660,14880,11504.02832,300965750
1/3/2010,14880,16680,14880,16360,12648.24316,300093550
1/4/2010,16520,17500,16300,16980,13127.57324,365097050
1/5/2010,16900,16900,14720,15520,11998.82324,375316700
1/6/2010,15520,16780,15300,15480,11967.90137,313879000
1/7/2010,15580,16800,15100,16200,12603.71484,361875300
1/8/2010,16340,16440,15120,15120,11763.46777,282213150
1/9/2010,15240,15800,14900,15540,12090.22949,383366350
1/10/2010,15440,15880,14700,14900,11592.30762,410083200
1/11/2010,15060,17060,14740,16520,12852.67871,504345700
1/12/2010,16480,19060,16280,18980,14766.57422,385271850
1/1/2011,19100,20280,18160,19620,15346.30469,400595100
1/2/2011,19640,20080,18260,18460,14438.98047,316496950
1/3/2011,18460,18900,17060,18640,14579.77441,543765100
1/4/2011,18720,18960,17060,17860,13969.67383,457415250
1/5/2011,18200,18800,17060,18040,14110.4668,393137750
1/6/2011,18040,18240,15900,16520,12921.55664,348643550
1/7/2011,16860,17980,16120,16880,13211.0791,320490800
1/8/2011,17100,17500,13440,14880,11645.78516,546105850
1/9/2011,15180,16960,14200,16800,13148.46875,411672800
1/10/2011,16800,19400,15920,19360,15152.04102,414852250
1/11/2011,19360,20200,18420,20080,15715.54785,408688100
1/12/2011,20700,21680,19680,21160,16560.80859,337989750
1/1/2012,21400,22600,20220,22140,17408.92383,358476200
1/2/2012,22140,24180,21120,24120,18965.81641,351885600
1/3/2012,24120,26220,23300,25500,20050.93164,284509050
1/4/2012,25500,28180,24820,27800,21859.44141,300975450
1/5/2012,27800,28360,23300,24220,19044.44922,386507600
1/6/2012,24260,25500,22560,24020,18887.18164,364919800
1/7/2012,24160,26680,21820,26180,20594.43945,410074850
1/8/2012,25840,27100,23460,24660,19398.73828,435405700
1/9/2012,24400,27200,23780,26920,21176.56445,304100650
1/10/2012,26920,27800,25520,26200,20610.17383,266171450
1/11/2012,25900,28860,25800,28120,22120.53906,275160850
1/12/2012,28400,30720,28160,30440,23945.5625,272825100
1/1/2013,30440,31680,27420,28960,22898.14844,330295050
1/2/2013,29200,31180,28280,30880,24416.26172,196753700
1/3/2013,30880,31500,28680,30540,24147.42773,282013100
1/4/2013,30700,31320,29100,30400,24036.73438,252930150
1/5/2013,30400,31180,29240,30760,24321.37695,246520000
1/6/2013,30720,31180,24900,26840,21221.9043,415593000
1/7/2013,26680,27040,24180,25600,20249.48828,321327250
1/8/2013,25700,27360,24260,27360,21641.64063,269993550
1/9/2013,27360,28500,26420,27340,21625.82227,244496450
1/10/2013,27600,30040,27200,29300,23176.16797,219926800
1/11/2013,29800,30040,28140,29880,23634.94727,198269950
1/12/2013,30000,30060,27200,27440,21704.91797,204075700
1/1/2014,27440,27440,25440,25600,20449.92188,318015300
1/2/2014,25720,26980,24680,26980,21552.29883,211548800
1/3/2014,26720,26900,24820,26860,21456.44727,221259700
1/4/2014,26900,28560,26520,26860,21456.44727,247482900
1/5/2014,26860,29640,26520,28860,23054.09375,230611150
1/6/2014,28860,29900,25920,26440,21120.93359,261116200
1/7/2014,26160,28160,25640,26860,21464.54492,237436950
1/8/2014,26100,26560,24420,24680,19722.44531,255655100
1/9/2014,24720,24740,22820,23680,18923.31836,249526800
1/10/2014,23480,25000,21560,24880,19882.27148,306917050
1/11/2014,25000,26020,23600,25740,20569.51953,263748900
1/12/2014,25880,27140,25040,26540,21208.82227,256107700
1/1/2015,26540,28000,25640,27300,22135.41406,263020700
1/2/2015,27300,28000,26620,27140,22005.68359,150436850
1/3/2015,27500,30200,27340,28820,23367.87109,279921800
1/4/2015,28740,29880,27180,28200,22865.1582,248299150
1/5/2015,28200,28460,25940,26140,21194.86328,192595550
1/6/2015,26000,27100,24800,25360,20562.42188,238892000
1/7/2015,25360,26220,23500,23700,19231.51367,267818250
1/8/2015,23680,23740,20660,21780,17673.51172,318101750
1/9/2015,21780,23840,21300,22680,18403.82813,271320150
1/10/2015,22800,27840,22240,27440,22266.35156,312561650
1/11/2015,27700,27860,25260,25680,20838.18945,227371800
1/12/2015,25880,26440,24820,25200,20448.69336,210568800
1/1/2016,25200,25200,21760,23000,18963.0625,240651900
1/2/2016,23040,24060,22360,23560,19424.76953,183501950
1/3/2016,23560,26420,23540,26240,21634.38477,231758500
1/4/2016,25980,26200,24800,24900,20529.57422,193258650
1/5/2016,24940,26060,24900,25840,21304.58984,258343150
1/6/2016,25960,29000,25900,28500,23497.71289,331527450
1/7/2016,28540,31140,28240,30780,25395.68164,223524050
1/8/2016,31380,33880,30340,32400,26732.29688,251859600
1/9/2016,31660,33040,29120,31960,26369.26563,260918600
1/10/2016,31960,34320,29880,32780,27045.82031,345475400
1/11/2016,32600,34940,30780,34920,28811.47461,255270450
1/12/2016,34800,36600,34140,36040,29735.54883,196117550
1/1/2017,35980,40000,35540,39460,33062.70313,220506050
1/2/2017,39540,39660,37080,38440,32208.06055,238522350
1/3/2017,38440,42680,38420,41200,34520.60547,262654200
1/4/2017,41400,45800,40080,44620,37511.85547,238261950
1/5/2017,44620,47220,44400,44700,37579.10938,258031650
1/6/2017,44860,48400,44400,47540,39966.67578,231308600
1/7/2017,47500,51320,46780,48200,40640.82422,222220650
1/8/2017,48000,49340,44220,46320,39055.67188,268068050
1/9/2017,46460,53680,45500,51280,43237.79688,216870650
1/10/2017,51280,55440,51280,55080,46567.98828,170035250
1/11/2017,57500,57520,50200,50800,42949.42188,231030300
1/12/2017,50800,52280,48200,50960,43084.6875,215690700
1/1/2018,50960,54140,46760,49900,42568.25391,348549350
1/2/2018,50620,50960,44420,47060,40145.53906,316585400
1/3/2018,47060,52020,45080,49220,41988.17188,264114800
1/4/2018,49000,53640,46920,53000,45543.83984,262201650
